Fullname,Course,Score,Experience,StudyMode,StudyPattern
Ashley Harris,Doctor of Pharmacy (Pharm.D.),96,nutrition,,FT
Thomas Boyer,Bachelor of Science in Biomedical Science (B.S.),86,immunology,online,
Holly Friedman,Bachelor of Science in Nursing (B.S.N.),82,physiotherapy,online,
Rebecca Cook DVM,Doctor of Pharmacy (Pharm.D.),63,nursing,,
Amy Tucker,Doctor of Dental Surgery (D.D.S.),62,physiotherapy,,FT
John Young PhD,Doctor of Dental Medicine (D.M.D.),100,nutrition,online,
James Scott,Doctor of Medicine (M.D.),73,nursing,campus,PT
Jeffrey Miles,Doctor of Dental Surgery (D.D.S.),92,surgery,campus,
Andrew Green,Doctor of Medicine (M.D.),73,nursing,campus,FT
Stephanie Warner,Doctor of Dental Surgery (D.D.S.),78,physiotherapy,online,
Marie Mcintyre,Doctor of Dental Surgery (D.D.S.),69,surgery,online,PT
Melanie Silva,Doctor of Veterinary Medicine (D.V.M.),60,nursing,online,FT
Jaime Lopez,Doctor of Dental Medicine (D.M.D.),58,immunology,online,
Reginald Owens,Doctor of Osteopathic Medicine (D.O.),60,physiotherapy,campus,FT
Amber Blair,Master of Health Administration (M.H.A.),93,surgery,,
James Ramsey,Doctor of Optometry (O.D.),56,nursing,,
Theresa Robinson,Doctor of Dental Surgery (D.D.S.),85,dentistry,,PT
Elizabeth White,Bachelor of Science in Nursing (B.S.N.),60,physiotherapy,online,FT
Timothy Rodriguez,Doctor of Optometry (O.D.),82,dentistry,campus,PT
Christopher Gonzalez,Bachelor of Science in Biomedical Science (B.S.),75,surgery,online,
Alyssa Wilson,Doctor of Medicine (M.D.),92,surgery,online,FT
Maria Harris,Master of Health Administration (M.H.A.),77,surgery,,FT
